Cardio
Date,Exercise,Set,Duration,Speed/Resistance/Distance/Jumps/Sets,Elevation/Avg HR/Incline/Steps,Calories/Laps/Matches,Notes

Exercise
Date,Exercise,Set,Weight,Reps,Notes
"09-Oct-14","romanian deadlift","2","55 kg","8",""
"09-Oct-14","romanian deadlift","3","55 kg","8",""
"09-Oct-14","romanian deadlift","4","55 kg","8",""
"09-Oct-14","captains chair leg raise","1","0.0 kg","8",""
"09-Oct-14","captains chair leg raise","2","0.0 kg","8",""
"09-Oct-14","captains chair leg raise","3","0.0 kg","8",""
"09-Oct-14","captains chair leg raise","4","0.0 kg","8",""
"09-Oct-14","kneeling cable crunch","1","31.25 kg","8",""
"09-Oct-14","kneeling cable crunch","2","31.25 kg","8",""
"09-Oct-14","kneeling cable crunch","3","31.25 kg","8",""
"09-Oct-14","kneeling cable crunch","4","31.25 kg","8",""

"10-Oct-14","dumbbell pull-over","1","18 kg","8","shoulders hurting"
"10-Oct-14","dumbbell pull-over","2","18 kg","10",""
"10-Oct-14","dumbbell pull-over","3","20 kg","10",""
"10-Oct-14","dumbbell pull-over","4","20 kg","10",""
"10-Oct-14","air bicycles","1","0.0 kg","70",""
"10-Oct-14","air bicycles","2","0.0 kg","70",""
"10-Oct-14","air bicycles","3","0.0 kg","70",""
"10-Oct-14","cable triceps pushdown","1","33.75 kg","6",""
"10-Oct-14","cable triceps pushdown","2","33.75 kg","6",""
"10-Oct-14","cable triceps pushdown","3","33.75 kg","8",""
"10-Oct-14","standing biceps curl","1","30 kg","6",""
"10-Oct-14","standing biceps curl","2","30 kg","6",""
"10-Oct-14","standing biceps curl","3","30 kg","6",""
"10-Oct-14","dumbbell biceps curl","1","12 kg","8",""
"10-Oct-14","dumbbell biceps curl","2","12 kg","8",""
"10-Oct-14","dumbbell biceps curl","3","12 kg","8",""
"10-Oct-14","dumbbell biceps curl","4","14 kg","6","failing on left still!"
"10-Oct-14","dumbbell biceps curl","5","14 kg","6","failing on left still!"
"10-Oct-14","dumbbell biceps curl","6","14 kg","6","failing on left still!"

"13-Oct-14","air bicycles","1","0.0 kg","70",""
"13-Oct-14","air bicycles","2","0.0 kg","70",""
"13-Oct-14","air bicycles","3","0.0 kg","70",""
"13-Oct-14","dip","1","0.0 kg","8",""
"13-Oct-14","dip","2","0.0 kg","8",""
"13-Oct-14","dip","3","0.0 kg","8",""
"13-Oct-14","dip","4","0.0 kg","8",""
"13-Oct-14","incline barbell bench press","1","44 kg","5","failed"
"13-Oct-14","incline barbell bench press","2","44 kg","6",""
"13-Oct-14","incline barbell bench press","3","44 kg","6",""
"13-Oct-14","barbell bench press","1","44 kg","8",""
"13-Oct-14","barbell bench press","2","44 kg","8",""
"13-Oct-14","barbell bench press","3","44 kg","8",""
"13-Oct-14","barbell bench press","4","52 kg","6",""
"13-Oct-14","barbell bench press","5","52 kg","6",""
"13-Oct-14","barbell bench press","6","52 kg","6",""
"13-Oct-14","captains chair leg raise","1","0.0 kg","8",""
"13-Oct-14","captains chair leg raise","2","0.0 kg","8",""
"13-Oct-14","captains chair leg raise","3","0.0 kg","8",""
"13-Oct-14","captains chair leg raise","4","0.0 kg","8",""
"13-Oct-14","kneeling cable crunch","1","31.25 kg","8",""
"13-Oct-14","kneeling cable crunch","2","31.25 kg","8",""
"13-Oct-14","kneeling cable crunch","3","31.25 kg","8",""
"13-Oct-14","kneeling cable crunch","4","31.25 kg","8",""

"14-Oct-14","one-arm row","1","18 kg","8",""
"14-Oct-14","one-arm row","2","18 kg","8",""
"14-Oct-14","one-arm row","3","18 kg","12",""
"14-Oct-14","one-arm row","4","24 kg","6","failed on right on 6"
"14-Oct-14","one-arm row","5","24 kg","6",""
"14-Oct-14","one-arm row","6","18 kg","8",""
"14-Oct-14","calf raise","1","120 kg","8",""
"14-Oct-14","calf raise","2","120 kg","10",""
"14-Oct-14","calf raise","3","120 kg","10",""
"14-Oct-14","calf raise","4","120 kg","10",""
"14-Oct-14","deadlift","1","40 kg","8",""
"14-Oct-14","deadlift","2","40 kg","8",""
"14-Oct-14","deadlift","3","40 kg","12",""
"14-Oct-14","deadlift","4","55 kg","6",""
"14-Oct-14","deadlift","5","55 kg","6",""
"14-Oct-14","deadlift","6","40 kg","8",""
"14-Oct-14","lat pulldown","1","82 kg","6",""
"14-Oct-14","lat pulldown","2","82 kg","6",""
"14-Oct-14","lat pulldown","3","82 kg","6",""

"15-Oct-14","seated dumbbell shoulder press","1","12 kg","8",""
"15-Oct-14","seated dumbbell shoulder press","2","12 kg","8",""
"15-Oct-14","seated dumbbell shoulder press","3","12 kg","12",""
"15-Oct-14","seated dumbbell shoulder press","4","18 kg","6",""
"15-Oct-14","seated dumbbell shoulder press","5","18 kg","8",""
"15-Oct-14","seated dumbbell shoulder press","6","18 kg","8",""
"15-Oct-14","barbell shrug","1","55 kg","12",""
"15-Oct-14","barbell shrug","2","55 kg","12",""
"15-Oct-14","barbell shrug","3","55 kg","12",""
"15-Oct-14","barbell shrug","4","55 kg","12",""
"15-Oct-14","cable side lateral raise","1","8 kg","8",""
"15-Oct-14","cable side lateral raise","2","8 kg","8",""
"15-Oct-14","cable side lateral raise","3","8 kg","8",""
"15-Oct-14","cable side lateral raise","4","8 kg","8","really tough"
"15-Oct-14","barbell rear delt raise","1","40 kg","8",""
"15-Oct-14","barbell rear delt raise","2","40 kg","8",""
"15-Oct-14","barbell rear delt raise","3","40 kg","8",""
"15-Oct-14","barbell rear delt raise","4","40 kg","8",""

"16-Oct-14","romanian deadlift","1","55 kg","8",""
"16-Oct-14","romanian deadlift","2","55 kg","8",""
"16-Oct-14","romanian deadlift","3","55 kg","8",""
"16-Oct-14","romanian deadlift","4","55 kg","8",""
"16-Oct-14","captains chair leg raise","1","0.0 kg","8",""
"16-Oct-14","captains chair leg raise","2","0.0 kg","8",""
"16-Oct-14","captains chair leg raise","3","0.0 kg","8",""
"16-Oct-14","captains chair leg raise","4","0.0 kg","8",""
"16-Oct-14","machine leg press","1","65 kg","8",""
"16-Oct-14","machine leg press","2","65 kg","8",""
"16-Oct-14","machine leg press","3","65 kg","12",""
"16-Oct-14","machine leg press","4","105 kg","6",""
"16-Oct-14","machine leg press","5","105 kg","6",""
"16-Oct-14","machine leg press","6","105 kg","7",""

"17-Oct-14","dumbbell pull-over","1","22 kg","8",""
"17-Oct-14","dumbbell pull-over","2","22 kg","8",""
"17-Oct-14","dumbbell pull-over","3","22 kg","8",""
"17-Oct-14","dumbbell pull-over","4","22 kg","8",""
"17-Oct-14","air bicycles","1","0.0 kg","70",""
"17-Oct-14","air bicycles","2","0.0 kg","70",""
"17-Oct-14","cable triceps pushdown","1","36.25 kg","6",""
"17-Oct-14","cable triceps pushdown","2","36.25 kg","6",""
"17-Oct-14","cable triceps pushdown","3","36.25 kg","6",""
"17-Oct-14","barbell squat","1","0 kg","8",""
"17-Oct-14","barbell squat","2","0 kg","8",""
"17-Oct-14","barbell squat","3","20 kg","8",""
"17-Oct-14","barbell squat","4","40 kg","6",""
"17-Oct-14","barbell squat","5","50 kg","6","fuck!"
"17-Oct-14","barbell squat","6","50 kg","6","fuck!"
"17-Oct-14","standing biceps curl","1","30 kg","6",""
"17-Oct-14","standing biceps curl","2","30 kg","6",""
"17-Oct-14","standing biceps curl","3","30 kg","6",""
"17-Oct-14","dumbbell biceps curl","1","12 kg","8",""
"17-Oct-14","dumbbell biceps curl","2","12 kg","8",""
"17-Oct-14","dumbbell biceps curl","3","12 kg","8",""
"17-Oct-14","dumbbell biceps curl","4","14 kg","6",""
"17-Oct-14","dumbbell biceps curl","5","14 kg","6","failed on left"
"17-Oct-14","dumbbell biceps curl","6","14 kg","6","failed on left"
"17-Oct-14","kneeling cable crunch","1","33.75 kg","8",""
"17-Oct-14","kneeling cable crunch","2","33.75 kg","8",""
"17-Oct-14","kneeling cable crunch","3","33.75 kg","8",""
"17-Oct-14","kneeling cable crunch","4","33.75 kg","8",""

"20-Oct-14","air bicycles","1","0.0 kg","80",""
"20-Oct-14","air bicycles","2","0.0 kg","80",""
"20-Oct-14","dip","1","0.0 kg","8",""
"20-Oct-14","dip","2","0.0 kg","8",""
"20-Oct-14","dip","3","0.0 kg","8",""
"20-Oct-14","dip","4","0.0 kg","8",""
"20-Oct-14","incline barbell bench press","1","48 kg","6","really struggling to push both at once"
"20-Oct-14","incline barbell bench press","2","48 kg","3","failed "
"20-Oct-14","incline barbell bench press","3","44 kg","6",""
"20-Oct-14","incline barbell bench press","4","44 kg","5","failed"
"20-Oct-14","barbell bench press","1","44 kg","8",""
"20-Oct-14","barbell bench press","2","44 kg","8",""
"20-Oct-14","barbell bench press","3","44 kg","12",""
"20-Oct-14","barbell bench press","4","56 kg","6",""
"20-Oct-14","barbell bench press","5","56 kg","6",""
"20-Oct-14","barbell bench press","6","56 kg","5","failed"
"20-Oct-14","captains chair leg raise","1","0.0 kg","8",""
"20-Oct-14","captains chair leg raise","2","0.0 kg","8",""
"20-Oct-14","captains chair leg raise","3","0.0 kg","8",""
"20-Oct-14","captains chair leg raise","4","0.0 kg","8",""
"20-Oct-14","kneeling cable crunch","1","33.75 kg","8",""
"20-Oct-14","kneeling cable crunch","2","33.75 kg","8",""
"20-Oct-14","kneeling cable crunch","3","33.75 kg","8",""
"20-Oct-14","kneeling cable crunch","4","33.75 kg","8",""

"21-Oct-14","one-arm row","1","18 kg","8",""
"21-Oct-14","one-arm row","2","18 kg","8",""
"21-Oct-14","one-arm row","3","18 kg","12",""
"21-Oct-14","one-arm row","4","24 kg","6",""
"21-Oct-14","one-arm row","5","24 kg","6",""
"21-Oct-14","one-arm row","6","24 kg","6",""
"21-Oct-14","calf raise","1","120 kg","12",""
"21-Oct-14","calf raise","2","120 kg","12",""
"21-Oct-14","calf raise","3","120 kg","12",""
"21-Oct-14","calf raise","4","120 kg","12",""
"21-Oct-14","deadlift","1","20 kg","8","real barbell"
"21-Oct-14","deadlift","2","20 kg","8","real barbell"
"21-Oct-14","deadlift","3","20 kg","12","real barbell"
"21-Oct-14","deadlift","4","40 kg","6",""
"21-Oct-14","deadlift","5","40 kg","6",""
"21-Oct-14","deadlift","6","40 kg","6",""
"21-Oct-14","lat pulldown","1","82 kg","6",""
"21-Oct-14","lat pulldown","2","82 kg","6",""
"21-Oct-14","lat pulldown","3","82 kg","6",""

"22-Oct-14","seated dumbbell shoulder press","1","10 kg","10",""
"22-Oct-14","seated dumbbell shoulder press","2","12 kg","10",""
"22-Oct-14","seated dumbbell shoulder press","3","12 kg","12",""
"22-Oct-14","seated dumbbell shoulder press","4","20 kg","6",""
"22-Oct-14","seated dumbbell shoulder press","5","20 kg","6",""
"22-Oct-14","seated dumbbell shoulder press","6","20 kg","6",""
"22-Oct-14","barbell shrug","1","64 kg","10","dumbells (32x2)"
"22-Oct-14","barbell shrug","2","64 kg","10","dumbells (32x2)"
"22-Oct-14","barbell shrug","3","64 kg","10","dumbells (32x2)"
"22-Oct-14","barbell shrug","4","64 kg","10","dumbells (32x2)"
"22-Oct-14","cable side lateral raise","1","6.25 kg","6","using cable machine "
"22-Oct-14","cable side lateral raise","2","6.25 kg","6","using cable machine "
"22-Oct-14","cable side lateral raise","3","6.25 kg","6","using cable machine "
"22-Oct-14","cable side lateral raise","4","6.25 kg","6","using cable machine "

"23-Oct-14","barbell squat","1","0 kg","8",""
"23-Oct-14","barbell squat","2","0 kg","8",""
"23-Oct-14","barbell squat","3","20 kg","12",""
"23-Oct-14","barbell squat","4","50 kg","6",""
"23-Oct-14","barbell squat","5","50 kg","6",""
"23-Oct-14","barbell squat","6","50 kg","6",""
"23-Oct-14","romanian deadlift","1","55 kg","8",""
"23-Oct-14","romanian deadlift","2","55 kg","8",""
"23-Oct-14","romanian deadlift","3","55 kg","8",""
"23-Oct-14","romanian deadlift","4","55 kg","8",""
"23-Oct-14","machine leg press","1","65 kg","8",""
"23-Oct-14","machine leg press","2","65 kg","8",""
"23-Oct-14","machine leg press","3","65 kg","12",""
"23-Oct-14","machine leg press","4","105 kg","6",""
"23-Oct-14","machine leg press","5","105 kg","6",""
"23-Oct-14","machine leg press","6","105 kg","6",""

"27-Oct-14","dumbbell pull-over","1","22 kg","8",""
"27-Oct-14","dumbbell pull-over","2","22 kg","8",""
"27-Oct-14","dumbbell pull-over","3","22 kg","8",""
"27-Oct-14","dumbbell pull-over","4","22 kg","8",""
"27-Oct-14","air bicycles","1","0.0 kg","80",""
"27-Oct-14","air bicycles","2","0.0 kg","80",""
"27-Oct-14","air bicycles","3","0.0 kg","80",""
"27-Oct-14","cable triceps pushdown","1","36.25 kg","6",""
"27-Oct-14","cable triceps pushdown","2","36.25 kg","2",""
"27-Oct-14","cable triceps pushdown","3","33.75 kg","4",""
"27-Oct-14","cable triceps pushdown","4","33.75 kg","6",""
"27-Oct-14","standing biceps curl","1","25 kg","6","lowered weight from climbing aches"
"27-Oct-14","standing biceps curl","2","25 kg","6","lowered weight from climbing aches"
"27-Oct-14","standing biceps curl","3","25 kg","6","lowered weight from climbing aches"
"27-Oct-14","dumbbell biceps curl","1","12 kg","8",""
"27-Oct-14","dumbbell biceps curl","2","12 kg","8",""
"27-Oct-14","dumbbell biceps curl","3","12 kg","8",""
"27-Oct-14","dumbbell biceps curl","4","14 kg","6",""
"27-Oct-14","dumbbell biceps curl","5","14 kg","6",""
"27-Oct-14","dumbbell biceps curl","6","14 kg","6",""
"27-Oct-14","captains chair leg raise","1","0.0 kg","8",""
"27-Oct-14","captains chair leg raise","2","0.0 kg","8",""
"27-Oct-14","captains chair leg raise","3","0.0 kg","8",""
"27-Oct-14","captains chair leg raise","4","0.0 kg","8",""
"27-Oct-14","kneeling cable crunch","1","33.75 kg","8",""
"27-Oct-14","kneeling cable crunch","2","33.75 kg","8",""
"27-Oct-14","kneeling cable crunch","3","33.75 kg","8",""
"27-Oct-14","kneeling cable crunch","4","33.75 kg","8",""

"28-Oct-14","air bicycles","1","0.0 kg","80",""
"28-Oct-14","air bicycles","2","0.0 kg","80",""
"28-Oct-14","air bicycles","3","0.0 kg","80",""
"28-Oct-14","dip","1","0.0 kg","8",""
"28-Oct-14","dip","2","0.0 kg","8",""
"28-Oct-14","dip","3","0.0 kg","8",""
"28-Oct-14","dip","4","0.0 kg","8",""
"28-Oct-14","captains chair leg raise","1","0.0 kg","8",""
"28-Oct-14","captains chair leg raise","2","0.0 kg","8",""
"28-Oct-14","captains chair leg raise","3","0.0 kg","8",""
"28-Oct-14","captains chair leg raise","4","0.0 kg","8",""
"28-Oct-14","kneeling cable crunch","1","33.75 kg","8",""
"28-Oct-14","kneeling cable crunch","2","33.75 kg","8",""
"28-Oct-14","kneeling cable crunch","3","33.75 kg","8",""
"28-Oct-14","kneeling cable crunch","4","33.75 kg","8",""

"29-Oct-14","one-arm row","1","18 kg","8",""
"29-Oct-14","one-arm row","2","18 kg","8",""
"29-Oct-14","one-arm row","3","18 kg","12",""
"29-Oct-14","one-arm row","4","26 kg","6",""
"29-Oct-14","one-arm row","5","26 kg","6",""
"29-Oct-14","one-arm row","6","26 kg","6",""
"29-Oct-14","calf raise","1","120 kg","12",""
"29-Oct-14","calf raise","2","120 kg","12",""
"29-Oct-14","calf raise","3","120 kg","12",""
"29-Oct-14","calf raise","4","120 kg","12",""
"29-Oct-14","deadlift","1","55 kg","8","using shitties"
"29-Oct-14","deadlift","2","55 kg","8","using shitties"
"29-Oct-14","deadlift","3","55 kg","8","using shitties"
"29-Oct-14","deadlift","4","55 kg","8","using shitties"
"29-Oct-14","lat pulldown","1","82 kg","6",""
"29-Oct-14","lat pulldown","2","82 kg","6",""
"29-Oct-14","lat pulldown","3","82 kg","6",""

"31-Oct-14","seated dumbbell shoulder press","1","12 kg","8",""
"31-Oct-14","seated dumbbell shoulder press","2","12 kg","8",""
"31-Oct-14","seated dumbbell shoulder press","3","12 kg","12",""
"31-Oct-14","seated dumbbell shoulder press","4","22 kg","6",""
"31-Oct-14","seated dumbbell shoulder press","5","22 kg","6",""
"31-Oct-14","seated dumbbell shoulder press","6","22 kg","6",""
"31-Oct-14","barbell shrug","1","55 kg","8",""
"31-Oct-14","barbell shrug","2","55 kg","10",""
"31-Oct-14","barbell shrug","3","55 kg","10",""
"31-Oct-14","barbell shrug","4","55 kg","10",""
"31-Oct-14","cable side lateral raise","1","6.25 kg","6",""
"31-Oct-14","cable side lateral raise","2","6.25 kg","6",""
"31-Oct-14","cable side lateral raise","3","6.25 kg","6",""
"31-Oct-14","cable side lateral raise","4","6.25 kg","6",""
"31-Oct-14","barbell rear delt raise","1","40 kg","8",""
"31-Oct-14","barbell rear delt raise","2","40 kg","8",""
"31-Oct-14","barbell rear delt raise","3","40 kg","8",""
"31-Oct-14","barbell rear delt raise","4","40 kg","8",""

"01-Nov-14","barbell squat","1","0 kg","8",""
"01-Nov-14","barbell squat","2","0 kg","10",""
"01-Nov-14","barbell squat","3","20 kg","12",""
"01-Nov-14","barbell squat","4","50 kg","6",""
"01-Nov-14","barbell squat","5","50 kg","6",""
"01-Nov-14","barbell squat","6","50 kg","6",""
"01-Nov-14","romanian deadlift","1","55 kg","8",""
"01-Nov-14","romanian deadlift","2","55 kg","8",""
"01-Nov-14","romanian deadlift","3","55 kg","8",""
"01-Nov-14","romanian deadlift","4","55 kg","8",""
"01-Nov-14","machine leg press","1","105 kg","6",""
"01-Nov-14","machine leg press","2","105 kg","6",""
"01-Nov-14","machine leg press","3","105 kg","6",""

"02-Nov-14","air bicycles","1","0.0 kg","80",""
"02-Nov-14","air bicycles","2","0.0 kg","80",""
"02-Nov-14","air bicycles","3","0.0 kg","80",""
"02-Nov-14","cable triceps pushdown","1","36.25 kg","6",""
"02-Nov-14","cable triceps pushdown","2","36.25 kg","6",""
"02-Nov-14","cable triceps pushdown","3","36.25 kg","6",""
"02-Nov-14","cable triceps pushdown","4","36.25 kg","6",""
"02-Nov-14","standing biceps curl","1","25 kg","6",""
"02-Nov-14","standing biceps curl","2","25 kg","6",""
"02-Nov-14","standing biceps curl","3","25 kg","6",""
"02-Nov-14","standing biceps curl","4","25 kg","6",""
"02-Nov-14","dumbbell biceps curl","1","12 kg","8",""
"02-Nov-14","dumbbell biceps curl","2","12 kg","8",""
"02-Nov-14","dumbbell biceps curl","3","12 kg","8",""
"02-Nov-14","dumbbell biceps curl","4","14 kg","6",""
"02-Nov-14","dumbbell biceps curl","5","14 kg","6",""
"02-Nov-14","dumbbell biceps curl","6","14 kg","6","failed on 4 in left hand"
"02-Nov-14","lying triceps extension","1","22 kg","8",""
"02-Nov-14","lying triceps extension","2","22 kg","8",""
"02-Nov-14","lying triceps extension","3","22 kg","8",""
"02-Nov-14","captains chair leg raise","1","0.0 kg","10",""
"02-Nov-14","captains chair leg raise","2","0.0 kg","10",""
"02-Nov-14","captains chair leg raise","3","0.0 kg","10",""
"02-Nov-14","captains chair leg raise","4","0.0 kg","10",""
"02-Nov-14","kneeling cable crunch","1","36.25 kg","8",""
"02-Nov-14","kneeling cable crunch","2","36.25 kg","8",""
"02-Nov-14","kneeling cable crunch","3","36.25 kg","8",""
"02-Nov-14","kneeling cable crunch","4","36.25 kg","8",""

"03-Nov-14","dip","1","0.0 kg","8",""
"03-Nov-14","dip","2","0.0 kg","8",""
"03-Nov-14","dip","3","0.0 kg","8",""
"03-Nov-14","dip","4","0.0 kg","8",""
"03-Nov-14","incline barbell bench press","1","44 kg","6",""
"03-Nov-14","incline barbell bench press","2","44 kg","5","failing on left"
"03-Nov-14","incline barbell bench press","3","20 kg","6","failing on left"
"03-Nov-14","barbell bench press","1","40 kg","8","22s being used"
"03-Nov-14","barbell bench press","2","40 kg","8","22s being used"
"03-Nov-14","barbell bench press","3","40 kg","12","22s being used"
"03-Nov-14","barbell bench press","4","56 kg","6",""
"03-Nov-14","barbell bench press","5","56 kg","6",""
"03-Nov-14","barbell bench press","6","56 kg","6",""
"03-Nov-14","kneeling cable crunch","1","33.75 kg","8",""
"03-Nov-14","kneeling cable crunch","2","33.75 kg","8",""
"03-Nov-14","kneeling cable crunch","3","33.75 kg","8",""

"04-Nov-14","one-arm row","1","18 kg","8",""
"04-Nov-14","one-arm row","2","18 kg","8",""
"04-Nov-14","one-arm row","3","18 kg","12",""
"04-Nov-14","one-arm row","4","26 kg","6",""
"04-Nov-14","one-arm row","5","26 kg","6",""
"04-Nov-14","one-arm row","6","26 kg","6",""
"04-Nov-14","calf raise","1","115 kg","12","using leg press"
"04-Nov-14","calf raise","2","115 kg","12","using leg press"
"04-Nov-14","calf raise","3","115 kg","12","using leg press"
"04-Nov-14","calf raise","4","115 kg","12","using leg press"
"04-Nov-14","deadlift","1","40 kg","8",""
"04-Nov-14","deadlift","2","40 kg","8",""
"04-Nov-14","deadlift","3","40 kg","12",""
"04-Nov-14","deadlift","4","55 kg","6",""
"04-Nov-14","deadlift","5","55 kg","6",""
"04-Nov-14","deadlift","6","55 kg","8",""
"04-Nov-14","lat pulldown","1","82 kg","6",""
"04-Nov-14","lat pulldown","2","82 kg","6",""
"04-Nov-14","lat pulldown","3","82 kg","6",""
"04-Nov-14","captains chair leg raise","1","0.0 kg","10",""
"04-Nov-14","captains chair leg raise","2","0.0 kg","10",""
"04-Nov-14","captains chair leg raise","3","0.0 kg","10",""
"04-Nov-14","captains chair leg raise","4","0.0 kg","10",""

"05-Nov-14","air bicycles","1","0.0 kg","85",""
"05-Nov-14","air bicycles","2","0.0 kg","85",""
"05-Nov-14","air bicycles","3","0.0 kg","105",""
"05-Nov-14","seated dumbbell shoulder press","1","14 kg","8",""
"05-Nov-14","seated dumbbell shoulder press","2","14 kg","8",""
"05-Nov-14","seated dumbbell shoulder press","3","14 kg","12",""
"05-Nov-14","seated dumbbell shoulder press","4","22 kg","6",""
"05-Nov-14","seated dumbbell shoulder press","5","22 kg","6",""
"05-Nov-14","seated dumbbell shoulder press","6","22 kg","6",""
"05-Nov-14","barbell shrug","1","55 kg","10",""
"05-Nov-14","barbell shrug","2","55 kg","12",""
"05-Nov-14","barbell shrug","3","55 kg","12",""
"05-Nov-14","barbell shrug","4","55 kg","12",""
"05-Nov-14","cable side lateral raise","1","8 kg","8","free weights"
"05-Nov-14","cable side lateral raise","2","8 kg","8","free weights"
"05-Nov-14","cable side lateral raise","3","8 kg","8","free weights"
"05-Nov-14","cable side lateral raise","4","8 kg","8","free weights"
"05-Nov-14","cable side lateral raise","5","8 kg","8",""
"05-Nov-14","barbell rear delt raise","1","40 kg","8",""
"05-Nov-14","barbell rear delt raise","2","40 kg","8",""
"05-Nov-14","barbell rear delt raise","3","40 kg","8",""
"05-Nov-14","barbell rear delt raise","4","40 kg","8",""

"17-Nov-14","air bicycles","1","0.0 kg","85",""
"17-Nov-14","air bicycles","2","0.0 kg","85",""
"17-Nov-14","air bicycles","3","0.0 kg","85",""
"17-Nov-14","dip","1","0.0 kg","8",""
"17-Nov-14","dip","2","0.0 kg","8",""
"17-Nov-14","dip","3","0.0 kg","8",""
"17-Nov-14","dip","4","0.0 kg","8",""
"17-Nov-14","incline barbell bench press","1","40 kg","6",""
"17-Nov-14","incline barbell bench press","2","40 kg","8",""
"17-Nov-14","incline barbell bench press","3","40 kg","8",""
"17-Nov-14","barbell bench press","1","40 kg","8",""
"17-Nov-14","barbell bench press","2","40 kg","8",""
"17-Nov-14","barbell bench press","3","40 kg","12",""
"17-Nov-14","barbell bench press","4","52 kg","6",""
"17-Nov-14","barbell bench press","5","52 kg","6",""
"17-Nov-14","barbell bench press","6","40 kg","8",""
"17-Nov-14","captains chair leg raise","1","0.0 kg","8",""
"17-Nov-14","captains chair leg raise","2","0.0 kg","8",""
"17-Nov-14","captains chair leg raise","3","0.0 kg","8",""
"17-Nov-14","captains chair leg raise","4","0.0 kg","8",""
"17-Nov-14","kneeling cable crunch","1","33.75 kg","8",""
"17-Nov-14","kneeling cable crunch","2","33.75 kg","8",""
"17-Nov-14","kneeling cable crunch","3","33.75 kg","8",""
"17-Nov-14","kneeling cable crunch","4","33.75 kg","8",""

"18-Nov-14","one-arm row","1","18 kg","8",""
"18-Nov-14","one-arm row","2","18 kg","8",""
"18-Nov-14","one-arm row","3","18 kg","12",""
"18-Nov-14","one-arm row","4","26 kg","6",""
"18-Nov-14","one-arm row","5","26 kg","6",""
"18-Nov-14","one-arm row","6","26 kg","6",""
"18-Nov-14","calf raise","1","120 kg","12",""
"18-Nov-14","calf raise","2","120 kg","12",""
"18-Nov-14","calf raise","3","120 kg","12",""
"18-Nov-14","calf raise","4","120 kg","12",""
"18-Nov-14","deadlift","1","40 kg","8",""
"18-Nov-14","deadlift","2","40 kg","8",""
"18-Nov-14","deadlift","3","40 kg","12",""
"18-Nov-14","deadlift","4","55 kg","8",""
"18-Nov-14","deadlift","5","55 kg","8",""
"18-Nov-14","deadlift","6","55 kg","8",""
"18-Nov-14","deadlift","7","55 kg","8",""
"18-Nov-14","lat pulldown","1","82 kg","6",""
"18-Nov-14","lat pulldown","2","82 kg","6",""
"18-Nov-14","lat pulldown","3","82 kg","6",""

"19-Nov-14","seated dumbbell shoulder press","1","14 kg","8",""
"19-Nov-14","seated dumbbell shoulder press","2","14 kg","8",""
"19-Nov-14","seated dumbbell shoulder press","3","14 kg","12",""
"19-Nov-14","seated dumbbell shoulder press","4","22 kg","6",""
"19-Nov-14","seated dumbbell shoulder press","5","22 kg","6",""
"19-Nov-14","seated dumbbell shoulder press","6","22 kg","6",""
"19-Nov-14","barbell shrug","1","55 kg","12",""
"19-Nov-14","barbell shrug","2","55 kg","12",""
"19-Nov-14","barbell shrug","3","55 kg","12",""
"19-Nov-14","barbell shrug","4","55 kg","12",""
"19-Nov-14","cable side lateral raise","1","6.25 kg","8",""
"19-Nov-14","cable side lateral raise","2","6.25 kg","6",""
"19-Nov-14","cable side lateral raise","3","6.25 kg","6",""
"19-Nov-14","cable side lateral raise","4","6.25 kg","6","some dodgy form"

"21-Nov-14","barbell squat","1","0 kg","8",""
"21-Nov-14","barbell squat","2","0 kg","8",""
"21-Nov-14","barbell squat","3","20 kg","12",""
"21-Nov-14","barbell squat","4","40 kg","6",""
"21-Nov-14","barbell squat","5","40 kg","6",""
"21-Nov-14","barbell squat","6","40 kg","6",""
"21-Nov-14","romanian deadlift","1","40 kg","10",""
"21-Nov-14","romanian deadlift","2","40 kg","8",""
"21-Nov-14","romanian deadlift","3","40 kg","12",""
"21-Nov-14","romanian deadlift","4","55 kg","6",""
"21-Nov-14","romanian deadlift","5","55 kg","8",""
"21-Nov-14","romanian deadlift","6","55 kg","8",""
"21-Nov-14","machine leg press","1","105 kg","8",""
"21-Nov-14","machine leg press","2","105 kg","8",""
"21-Nov-14","machine leg press","3","105 kg","8",""
"21-Nov-14","machine leg press","4","105 kg","8",""

"24-Nov-14","air bicycles","1","0.0 kg","100",""
"24-Nov-14","air bicycles","2","0.0 kg","100",""
"24-Nov-14","air bicycles","3","0.0 kg","100",""
"24-Nov-14","cable triceps pushdown","1","36.25 kg","6",""
"24-Nov-14","cable triceps pushdown","2","36.25 kg","6",""
"24-Nov-14","cable triceps pushdown","3","36.25 kg","6",""
"24-Nov-14","cable triceps pushdown","4","36.25 kg","6",""
"24-Nov-14","standing biceps curl","1","30 kg","6",""
"24-Nov-14","standing biceps curl","2","30 kg","6",""
"24-Nov-14","standing biceps curl","3","30 kg","6","failed on 6"
"24-Nov-14","standing biceps curl","4","30 kg","5",""
"24-Nov-14","dumbbell biceps curl","1","12 kg","8",""
"24-Nov-14","dumbbell biceps curl","2","12 kg","8",""
"24-Nov-14","dumbbell biceps curl","3","12 kg","8",""
"24-Nov-14","dumbbell biceps curl","4","14 kg","6","failed on left. has to assist"
"24-Nov-14","dumbbell biceps curl","5","14 kg","6","failed on left. has to assist"
